,bin,#recs,#g,#b,%g,%b,tot,cg,cb,%cg,FDR,KS,FPR,TP,TN,FN,FP,Accuracy,Misclass,FPRate,FPRatio,TPR,TNR,Precision,f1
76,76.0,1665.0,1651.0,14.0,99.15915915915916,0.8408408408408405,126535.0,124366.0,2169.0,75.78348272773252,90.90528080469404,15.121798076961525,57.337943752881515,2169.0,39741.0,217.0,124366.0,0.2517222946310055,0.7482777053689945,0.7578348272773252,57.337943752881515,0.9090528080469404,0.24216517272267485,0.017141502351128147,0.03364851343070563
77,77.0,1665.0,1660.0,5.0,99.69969969969969,0.3003003003003073,128200.0,126026.0,2174.0,76.7950178846728,91.11483654652137,14.319818661848572,57.96964121435143,2174.0,38081.0,212.0,126026.0,0.2417819367781228,0.7582180632218772,0.767950178846728,57.96964121435143,0.9111483654652137,0.23204982115327194,0.016957878315132607,0.03329606542814697
78,78.0,1665.0,1652.0,13.0,99.21921921921921,0.7807807807807876,129865.0,127678.0,2187.0,77.80167817338688,91.65968147527242,13.858003301885546,58.380429812528575,2187.0,36429.0,199.0,127678.0,0.23193767906158216,0.7680623209384179,0.7780167817338688,58.380429812528575,0.9165968147527243,0.22198321826613124,0.01684056520232549,0.033073473924582805
79,79.0,1664.0,1652.0,12.0,99.27884615384616,0.7211538461538396,131529.0,129330.0,2199.0,78.80833846210095,92.16261525565801,13.354276793557062,58.813096862210095,2199.0,34777.0,187.0,129330.0,0.22208741508652016,0.7779125849134798,0.7880833846210095,58.813096862210095,0.9216261525565801,0.21191661537899054,0.016718746436147163,0.0328417279617668
80,80.0,1665.0,1652.0,13.0,99.21921921921921,0.7807807807807876,133194.0,130982.0,2212.0,79.81499875081502,92.70746018440906,12.892461433594036,59.214285714285715,2212.0,33125.0,174.0,130982.0,0.2122431573699795,0.7877568426300204,0.7981499875081501,59.214285714285715,0.9270746018440905,0.20185001249184983,0.0166073546856465,0.03263018144269066
81,81.0,1665.0,1658.0,7.0,99.57957957957957,0.4204204204204274,134859.0,132640.0,2219.0,80.82531519069875,93.0008382229673,12.175523032268558,59.77467327625056,2219.0,31467.0,167.0,132640.0,0.20232682455118234,0.7976731754488177,0.8082531519069875,59.77467327625056,0.9300083822296731,0.19174684809301248,0.016454222558375784,0.03233633283544027
82,82.0,1665.0,1662.0,3.0,99.81981981981981,0.18018018018018722,136524.0,134302.0,2222.0,81.83806906469559,93.1265716680637,11.288502603368116,60.44194419441944,2222.0,29805.0,164.0,134302.0,0.19236244166421412,0.8076375583357859,0.818380690646956,60.44194419441944,0.9312657166806371,0.18161930935304404,0.016275526647329407,0.031991937225541715
83,83.0,1665.0,1659.0,6.0,99.63963963963964,0.36036036036036023,138189.0,135961.0,2228.0,82.8489948631076,93.37803855825649,10.529043695148886,61.0237881508079,2228.0,28146.0,158.0,135961.0,0.18243409632837418,0.8175659036716258,0.8284899486310761,61.0237881508079,0.9337803855825649,0.17151005136892394,0.016122846246806908,0.03169838164680775
84,84.0,1665.0,1659.0,6.0,99.63963963963964,0.36036036036036023,139854.0,137620.0,2234.0,83.85992066151962,93.6295054484493,9.76958478692967,61.60250671441361,2234.0,26487.0,152.0,137620.0,0.1725057509925342,0.8274942490074658,0.8385992066151962,61.60250671441361,0.9362950544844929,0.16140079338480381,0.01597380124987487,0.03141169853768279
85,85.0,1665.0,1653.0,12.0,99.27927927927928,0.7207207207207205,141519.0,139273.0,2246.0,84.86719030876196,94.13243922883487,9.265248920072906,62.0093499554764,2246.0,24834.0,140.0,139273.0,0.16264948075895083,0.8373505192410492,0.8486719030876196,62.0093499554764,0.9413243922883487,0.15132809691238033,0.01587066047668511,0.03121503769848164
86,86.0,1665.0,1652.0,13.0,99.21921921921921,0.7807807807807876,143184.0,140925.0,2259.0,85.87385059747604,94.67728415758592,8.80343356010988,62.38379814077025,2259.0,23182.0,127.0,140925.0,0.1528052230424102,0.8471947769575898,0.8587385059747604,62.38379814077025,0.9467728415758592,0.14126149402523963,0.015776902447200803,0.03103661468709212
